index_recipenlg,split
799,train
1375,test
3278,train
3581,train
4071,train
5645,train
5758,train
5861,validation
5970,train
6116,train
10557,train
11892,test
12459,validation
12589,train
13873,train
14257,train
14873,train
17759,train
18745,train
19265,train
19994,train
20208,train
21016,train
21051,train
23504,train
24657,train
25813,train
27368,train
29205,train
29330,train
30291,train
31037,train
32256,train
32433,test
32740,test
32909,validation
33604,train
34342,train
34611,train
35104,train
35608,train
36725,train
37987,train
39215,test
40035,train
40075,train
41257,train
42806,train
45460,train
46880,train
48139,test
49305,train
49410,test
49972,validation
55622,train
55907,test
57943,train
61578,train
62245,train
62688,train
63044,train
63318,train
63351,validation
65242,train
66535,train
66822,train
66963,train
68733,validation
73594,train
76262,test
77309,train
79212,train
79803,train
81667,validation
81693,train
82432,train
82660,train
83650,train
86848,train
87493,train
92150,validation
92532,train
93774,train
94634,train
97299,train
97886,train
101506,train
102051,train
102318,validation
102463,train
107440,train
108564,train
110261,train
110715,train
113015,train
113586,train
113610,train
114861,train
116154,train
117744,train
119130,train
121703,train
123039,train
123230,train
124226,test
124440,train
126274,train
128121,train
129299,train
131199,train
133337,train
133510,train
133742,test
135298,validation
136720,train
137426,validation
138459,validation
138580,train
139157,validation
140118,train
140619,validation
141452,validation
142385,train
143570,train
144561,train
145495,train
147323,validation
148232,validation
150003,train
152292,train
152936,train
153128,train
154162,train
155756,train
156742,test
157218,train
158102,train
160245,train
161403,train
161542,test
162143,test
162843,train
163617,train
163956,train
164323,train
164901,train
165847,train
166173,train
169271,train
170400,train
171260,test
172631,train
173022,train
173341,train
174656,test
174943,train
175428,train
178366,train
178760,train
180139,train
180729,train
182310,train
183781,train
184275,train
186804,train
187029,validation
188590,train
188644,train
188924,train
189164,train
190754,train
190855,train
195138,train
196373,train
196731,train
199494,train
203238,train
204057,train
206274,test
206551,train
207290,train
212756,train
214378,test
215359,validation
216324,train
216462,train
217931,validation
218063,train
222254,train
222882,train
223680,train
224272,validation
227246,test
229088,train
231302,train
231332,train
232449,train
232612,validation
233474,validation
235639,train
235994,train
236836,train
237753,train
238081,validation
238538,train
240233,train
241895,train
242186,train
244258,train
244430,train
246017,train
246566,train
247009,train
247847,train
248395,train
248905,train
252018,train
256029,train
256187,train
256601,validation
258325,train
258679,train
260716,train
262495,train
266562,train
271303,train
275995,test
276039,train
277270,validation
277370,train
278070,train
278961,train
279868,train
280365,train
280614,train
282600,train
284911,train
284972,train
286468,train
286479,train
287332,test
287804,test
288119,test
288426,train
288541,train
289323,test
290393,train
293033,test
294426,test
294980,validation
295799,train
297317,train
300023,validation
300299,train
301496,train
302280,train
302624,test
302928,train
304477,train
306073,train
306806,train
307857,test
308116,train
308258,train
309853,validation
310534,train
312309,train
313121,train
313880,train
314975,train
315516,validation
315835,validation
317031,validation
317717,test
318953,train
319981,train
321297,train
321335,train
321397,train
322994,train
326063,validation
326416,train
327316,train
329565,train
329701,train
330560,train
331949,train
335159,train
335679,train
342928,train
344793,train
347363,train
348544,validation
349018,train
349394,train
352264,train
353371,train
353598,train
356052,train
356970,train
357305,train
359278,train
359717,train
362561,train
362731,train
363508,test
363582,train
364198,train
365954,train
366785,train
369505,train
369738,train
370899,train
370957,test
375445,validation
377723,train
378108,train
378330,train
378862,train
379761,train
381560,train
382156,train
382462,train
383435,train
387317,test
388523,train
392023,train
393224,train
394649,train
395100,train
395136,train
395442,train
396266,train
397275,train
398567,train
399261,train
399871,validation
400203,train
401456,train
401591,train
402415,train
402511,train
405317,train
407061,train
409704,train
411010,train
412247,train
412501,train
414021,train
416233,train
416247,train
416333,validation
416862,train
417072,train
418780,train
419592,train
420066,train
421044,train
421352,test
422477,train
422931,train
423046,train
423371,train
423945,train
426390,test
431137,train
431722,test
432140,test
433605,train
433756,train
437871,train
439421,train
440451,train
442325,train
442991,train
444568,train
445050,validation
445560,train
445582,validation
447737,train
447946,train
448138,train
452277,train
453767,validation
453813,train
459333,validation
460125,train
460491,train
461344,train
461677,validation
461780,test
461897,train
464712,train
465167,train
468480,train
469800,test
471207,validation
474125,train
477736,train
479090,train
479896,train
483530,test
485406,train
489354,validation
489531,train
492400,validation
493089,train
493215,train
500587,test
501107,train
501644,train
503081,test
504986,test
509199,train
509410,train
509470,train
511349,train
511677,train
513541,train
515327,train
518015,train
520409,train
527031,train
527077,train
527534,train
528155,train
528972,train
534782,validation
535348,train
536661,train
537936,train
540942,train
541377,train
546675,train
546823,train
547393,train
549652,train
553270,validation
555274,train
555529,train
556574,train
560599,test
561244,train
563669,train
565139,validation
567219,test
568046,test
568284,train
569064,train
569697,train
570328,train
571623,train
573649,train
574586,test
576639,train
578535,train
579145,train
582888,train
585609,train
585956,train
586208,train
587579,train
587795,train
588703,train
590041,test
590925,train
591989,train
593275,validation
594525,train
595849,test
596561,train
597896,test
597989,train
602592,validation
603108,train
603824,test
604077,train
604249,train
604459,test
604622,train
604911,train
605086,train
606373,train
606744,train
607163,train
608617,test
609492,train
610803,train
611635,test
612154,validation
613017,train
614397,train
617229,train
618350,train
619339,train
621249,train
623286,train
625898,train
626517,test
629311,test
631147,train
632375,train
633750,train
634993,validation
635672,train
636262,train
638851,test
642800,validation
642981,test
643966,train
645257,train
646534,train
646820,test
646884,validation
647526,train
648856,train
658572,train
658972,validation
661138,test
664332,train
664401,train
665134,train
665290,test
665893,validation
667727,validation
670845,train
671248,train
672819,train
673890,train
674471,validation
675673,validation
677643,test
677919,test
678901,train
682659,train
683356,test
683786,validation
687609,train
688296,train
688432,train
688462,test
689292,train
690378,train
692801,train
694134,train
697264,train
697329,train
699198,train
699534,train
700378,train
700425,train
701315,validation
701753,train
703229,train
703949,validation
707410,train
708792,train
709173,train
710514,train
712915,train
713433,train
713687,train
718218,train
718627,train
718864,train
720084,train
720417,train
720440,train
723684,test
